
  Matrix B
 ---------
                       Col   1                          Col   2                          Col   3
  Row   1: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   2: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   3: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   4: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   5: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   6: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   7: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   8: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   9: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  10: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  11: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  12: (-3.8367804D-01, 0.0000000D+00)  ( 1.0000000D+00, 0.0000000D+00)  ( 1.0000000D+00, 0.0000000D+00)  
  Row  13: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  14: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  15: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  16: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  17: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  18: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  19: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  20: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
                       Col   4                          Col   5                          Col   6
  Row   1: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   2: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   3: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   4: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   5: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   6: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   7: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   8: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   9: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  10: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  11: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  12: ( 1.0000000D+00, 0.0000000D+00)  ( 1.0000000D+00, 0.0000000D+00)  ( 1.0000000D+00, 0.0000000D+00)  
  Row  13: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  14: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  15: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  16: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  17: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  18: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  19: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  20: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
                       Col   7                          Col   8                          Col   9
  Row   1: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   2: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   3: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   4: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   5: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   6: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   7: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   8: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   9: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  10: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  11: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  12: ( 1.0000000D+00, 0.0000000D+00)  ( 1.0000000D+00, 0.0000000D+00)  ( 1.0000000D+00, 0.0000000D+00)  
  Row  13: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  14: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  15: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  16: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  17: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  18: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  19: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row  20: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
                       Col  10                          Col  11                          Col  12
  Row   1: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
  Row   2: ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  ( 0.0000000D+00, 0.0000000D+00)  
